PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bonifacio,782.84,486.44,-,-,-,15.5349,0,16.3012,16.7555,12.1674,11.3441,11.1611
Bontoc (MP),392,244,-,-,-,13.8082,0,16.363,16.4894,13.4307,10.8314,11.3413
Bontoc (SL),640.82,398.19,-,-,-,15.5962,0,12.8431,15.0133,11.7158,10.8392,8.6235
Borbon,527.51,327.78,-,-,-,15.9749,0,15.2368,16.2521,12.1543,10.8932,11.3151
Borongan,582.93,362.22,-,-,-,15.9708,13.1891,16.0924,15.6464,13.2729,10.9727,11.3762
Boston,952.06,591.58,-,-,-,14.8218,0,16.0522,16.3775,11.8076,11.0928,10.9166
Botolan,123.57,76.79,-,-,-,10.391,0,16.3262,16.7482,12.0262,10.3169,11.0996
Braulio E. Dujali,943.31,586.15,-,-,-,15.6432,0,14.5811,15.6697,13.2928,11.2654,11.0403
Buadiposo-Buntong,822.66,511.18,-,-,-,-,-,-,-,11.3256,10.0755,10.838
Bubong,820.5,509.83,-,-,-,-,-,-,-,12.2806,10.5989,9.3327
Bucay,329.99,205.05,-,-,-,15.6237,0,13.3914,14.7221,13.5605,11.6643,11.232
Bucloc,318.18,197.71,-,-,-,6.1234,0,13.2389,13.521,6.7419,8.6074,8.4525
Buenavista (AN),789.96,490.86,-,-,-,12.8171,0,16.9284,16.6117,12.3097,10.8905,12.0183
Buenavista (BL),607.1,377.23,-,-,-,15.559,0,16.8004,16.2844,13.4463,11.3504,11.3058
Buenavista (GS),473.22,294.05,-,-,-,16.1113,0,16.6577,16.1653,13.7212,9.8409,11.4124
Buenavista (ME),182.35,113.31,-,-,-,14.11,0,16.3996,17.0252,13.5061,12.5641,11.3446
Bugallon,172.85,107.4,-,-,-,16.1074,0,15.7337,16.0857,13.592,11.5544,11.5138
Bugasong,410.58,255.12,-,-,-,0,0,16.5275,15.1046,13.3363,11.3784,11.1547
Buguey,418.04,259.76,-,-,-,16.1292,0,15.9808,15.8752,13.5238,10.9192,11.2169
Buguias,238.14,147.98,-,-,-,15.9373,0,15.8882,16.4645,12.865,10.8487,10.8153
Buhi,302.56,188,-,-,-,14.9969,0,15.0843,14.1202,13.249,9.8674,10.3322
Bula,277.59,172.49,-,-,-,15.6082,0,16.0402,16.4775,11.6685,10.8646,11.4111
Bulakan,961.85,597.66,-,-,-,12.8687,0,7.4062,15.8152,13.151,11.3074,11.2823
Bulalacao,253.74,157.67,-,-,-,12.4307,0,16.123,15.9275,12.3099,11.0265,9.3696
Bulan,961.85,597.66,-,-,-,14.9693,0,15.3461,14.4337,12.7481,11.3526,11.2229
Buldon,879.44,546.46,-,-,-,-,-,-,-,13.3576,11.4023,11.2467
Buluan,970.38,602.97,-,-,-,-,-,-,-,13.3019,10.3352,11.2587
